Major Name,Major URL
Aerospace Science & Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/eae
African American & African Studies,https://ucdavis.pubs.curricunet.com/Preview/9/aas
Agricultural & Environmental Chemistry,https://ucdavis.pubs.curricunet.com/Preview/9/agc
Agricultural & Resource Economics,https://ucdavis.pubs.curricunet.com/Preview/9/are
Agricultural & Environmental Education,https://ucdavis.pubs.curricunet.com/Preview/9/aed
American Studies,https://ucdavis.pubs.curricunet.com/Preview/9/ams
Animal Behavior,https://ucdavis.pubs.curricunet.com/Preview/9/anb
Animal Biology,https://ucdavis.pubs.curricunet.com/Preview/9/abi
Animal Science,https://ucdavis.pubs.curricunet.com/Preview/9/ans
Animal Science & Management,https://ucdavis.pubs.curricunet.com/Preview/9/animal-science-management
Anthropology,https://ucdavis.pubs.curricunet.com/Preview/9/ant
Applied Mathematics,https://ucdavis.pubs.curricunet.com/Preview/9/applied-mathematics-graduate-group
Applied Chemistry,https://ucdavis.pubs.curricunet.com/Preview/9/applied-chemistry
Applied Physics,https://ucdavis.pubs.curricunet.com/Preview/9/applied-physics
Art,https://ucdavis.pubs.curricunet.com/Preview/9/art
Art History,https://ucdavis.pubs.curricunet.com/Preview/9/ahi
Art Studio,https://ucdavis.pubs.curricunet.com/Preview/9/art
Asian American Studies,https://ucdavis.pubs.curricunet.com/Preview/9/asa
Atmospheric Science,https://ucdavis.pubs.curricunet.com/Preview/9/atm
Avian Sciences,https://ucdavis.pubs.curricunet.com/Preview/9/avs
Biochemical Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/biochemical-engineering
"Biochemistry, Molecular, Cellular & Developmental Biology",https://ucdavis.pubs.curricunet.com/Preview/9/bmcdb
Biochemistry & Molecular Biology,https://ucdavis.pubs.curricunet.com/Preview/9/biochemistry-molecular-biology
Biological Sciences,https://ucdavis.pubs.curricunet.com/Preview/9/bis
Biological Systems Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/ebs
Biomedical Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/bim
Biomedical Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/biomedical-engineering-graduate-group
Biophysics,https://ucdavis.pubs.curricunet.com/Preview/9/bph
Biostatistics,https://ucdavis.pubs.curricunet.com/Preview/9/bst
Biotechnology,https://ucdavis.pubs.curricunet.com/Preview/9/bit
Business Analytics,https://ucdavis.pubs.curricunet.com/Preview/9/business-analytics
Cell Biology,https://ucdavis.pubs.curricunet.com/Preview/9/cell-biology
Chemical Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/ech
Chemical Physics,https://ucdavis.pubs.curricunet.com/Preview/9/chemical-physics
Chemistry,https://ucdavis.pubs.curricunet.com/Preview/9/che
Chicana/Chicano Studies,https://ucdavis.pubs.curricunet.com/Preview/9/chi
Child Development,https://ucdavis.pubs.curricunet.com/Preview/9/child-development
Chinese,https://ucdavis.pubs.curricunet.com/Preview/9/chn
Cinema & Digital Media,https://ucdavis.pubs.curricunet.com/Preview/9/cinema-digital-media
Civil & Environmental Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/eci
Civil Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/civil-engineering
Classical Civilization,https://ucdavis.pubs.curricunet.com/Preview/9/classical-civilization
Clinical Nutrition,https://ucdavis.pubs.curricunet.com/Preview/9/clinical-nutrition
Clinical Research,https://ucdavis.pubs.curricunet.com/Preview/9/clinical-research-graduate-group
Cognitive Science,https://ucdavis.pubs.curricunet.com/Preview/9/cognitive-science
Communication,https://ucdavis.pubs.curricunet.com/Preview/9/cmn
Community & Regional Development,https://ucdavis.pubs.curricunet.com/Preview/9/crd
Community Development,https://ucdavis.pubs.curricunet.com/Preview/9/community-development-graduate-group
Comparative Literature,https://ucdavis.pubs.curricunet.com/Preview/9/com
Computer Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/computer-engineering
Computer Science,https://ucdavis.pubs.curricunet.com/Preview/9/computer-science
Computer Science,https://ucdavis.pubs.curricunet.com/Preview/9/computer-science
Computer Science & Engineering,https://ucdavis.pubs.curricunet.com/Preview/9/ecs
Creative Writing,{host}/{controller}/{action}/{catalogId}/3932
Cultural Studies,https://ucdavis.pubs.curricunet.com/Preview/9/cst
Design,https://ucdavis.pubs.curricunet.com/Preview/9/des
Dramatic Art,https://ucdavis.pubs.curricunet.com/Preview/9/dramatic-art
East Asian Studies,https://ucdavis.pubs.curricunet.com/Preview/9/eas
Ecological Management & Restoration,https://ucdavis.pubs.curricunet.com/Preview/9/ecological-management-restoration
